isic_code,isic_description,section_code,section_description,division_code,division_description,group_code,group_description,class_code,class_description,primary_method_1,primary_method_2,supporting_method_1,supporting_method_2,sensitivity_method,valuation_rationale,us_stocks,br_stocks
2394,"Manufacture of cement, lime and plaster",,,23,Manufacture of other non-metallic mineral products,239,Manufacture of non-metallic mineral products n.e.c.,2394,"Manufacture of cement, lime and plaster",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","VMC,EXP,MLM","PORT3,DXCO3,ETRE3"
2395,"Manufacture of articles of concrete, cement and plaster",,,23,Manufacture of other non-metallic mineral products,239,Manufacture of non-metallic mineral products n.e.c.,2395,"Manufacture of articles of concrete, cement and plaster",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","VMC,MLM,EXP","ETRE3,DXCO3,LEVE3"
2396,"Cutting, shaping and finishing of stone",,,23,Manufacture of other non-metallic mineral products,239,Manufacture of non-metallic mineral products n.e.c.,2396,"Cutting, shaping and finishing of stone",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MLM,VMC,EXP","DXCO3,PORT3,LEVE3"
2399,Manufacture of other non-metallic mineral products n.e.c.,,,23,Manufacture of other non-metallic mineral products,239,Manufacture of non-metallic mineral products n.e.c.,2399,Manufacture of other non-metallic mineral products n.e.c.,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","EXP,USG,MLM","DXCO3,LEVE3,ROMI3"
2410,Manufacture of basic iron and steel,,,24,Manufacture of basic metals,241,Manufacture of basic iron and steel,2410,Manufacture of basic iron and steel,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","NUE,STLD,CLF","GGBR4,CSNA3,USIM5"
2420,Manufacture of basic precious and other non-ferrous metals,,,24,Manufacture of basic metals,242,Manufacture of basic precious and other non-ferrous metals,2420,Manufacture of basic precious and other non-ferrous metals,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","FCX,AA,SCCO","VALE3,CMIN3,GGBR4"
2431,Casting of iron and steel,,,24,Manufacture of basic metals,243,Casting of metals,2431,Casting of iron and steel,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","STLD,NUE,CMC","GGBR4,CSNA3,TUPY3"
2432,Casting of non-ferrous metals,,,24,Manufacture of basic metals,243,Casting of metals,2432,Casting of non-ferrous metals,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HWM,PCP,KALU","GGBR4,CSNA3,USIM5"
2511,Manufacture of structural metal products,,,25,"Manufacture of fabricated metal products, except machinery and equipment",251,"Manufacture of structural metal products, tanks, reservoirs and steam generators",2511,Manufacture of structural metal products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","VMI,ROCK,ACA","GGBR4,CSNA3,USIM5"
2512,"Manufacture of tanks, reservoirs and containers of metal",,,25,"Manufacture of fabricated metal products, except machinery and equipment",251,"Manufacture of structural metal products, tanks, reservoirs and steam generators",2512,"Manufacture of tanks, reservoirs and containers of metal",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","BERK,CC,GEF","TUPY3,WEGE3,ROMI3"
2513,"Manufacture of steam generators, except central heating hot water boilers",,,25,"Manufacture of fabricated metal products, except machinery and equipment",251,"Manufacture of structural metal products, tanks, reservoirs and steam generators",2513,"Manufacture of steam generators, except central heating hot water boilers",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","BWC,GE,GEV","WEGE3,TUPY3,ROMI3"
2520,Manufacture of weapons and ammunition,,,25,"Manufacture of fabricated metal products, except machinery and equipment",252,Manufacture of weapons and ammunition,2520,Manufacture of weapons and ammunition,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LMT,GD,NOC","TASA4,EMBR3,RAPT4"
2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,25,"Manufacture of fabricated metal products, except machinery and equipment",259,Manufacture of other fabricated metal products; metalworking service activities,2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","STLD,RS,HWM","TUPY3,ROMI3,SHUL4"
2592,Treatment and coating of metals; machining,,,25,"Manufacture of fabricated metal products, except machinery and equipment",259,Manufacture of other fabricated metal products; metalworking service activities,2592,Treatment and coating of metals; machining,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","AZZ,MTW,KMT","FESA4,GGBR4,GOAU4"
2593,"Manufacture of cutlery, hand tools and general hardware",,,25,"Manufacture of fabricated metal products, except machinery and equipment",259,Manufacture of other fabricated metal products; metalworking service activities,2593,"Manufacture of cutlery, hand tools and general hardware",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SWK,SNA,SCL","FRAS3,TUPY3,ROMI3"
2599,Manufacture of other fabricated metal products n.e.c.,,,25,"Manufacture of fabricated metal products, except machinery and equipment",259,Manufacture of other fabricated metal products; metalworking service activities,2599,Manufacture of other fabricated metal products n.e.c.,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MLI,MGRC,RS","MYPK3,TUPY3,FRAS3"
2611,"Manufacture of solar cells, solar panels and photovoltaic inverters",,,26,"Manufacture of computer, electronic and optical products",261,Manufacture of electronic components and boards,2611,"Manufacture of solar cells, solar panels and photovoltaic inverters",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","FSLR,ENPH,SEDG","WEGE3,AERI3,KEPL3"
2619,Manufacture of other electronic components and boards,,,26,"Manufacture of computer, electronic and optical products",261,Manufacture of electronic components and boards,2619,Manufacture of other electronic components and boards,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MCHP,ADI,NVDA","WEGE3,TASA4,KEPL3"
2620,Manufacture of computers and peripheral equipment,,,26,"Manufacture of computer, electronic and optical products",262,Manufacture of computers and peripheral equipment,2620,Manufacture of computers and peripheral equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HPQ,DELL,NTAP","POSI3,INTB3,MLAS3"
2630,Manufacture of communication equipment,,,26,"Manufacture of computer, electronic and optical products",263,Manufacture of communication equipment,2630,Manufacture of communication equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CSCO,JNPR,MSI","VIVT3,TIMS3,INTB3"
2640,Manufacture of consumer electronics,,,26,"Manufacture of computer, electronic and optical products",264,Manufacture of consumer electronics,2640,Manufacture of consumer electronics,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","AAPL,SONO,GPRO","POSI3,INTB3,WEGE3"
2651,"Manufacture of measuring, testing, navigating and control equipment",,,26,"Manufacture of computer, electronic and optical products",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",2651,"Manufacture of measuring, testing, navigating and control equipment",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","AME,FTV,KEYS","AALR3,FLRY3,DASA3"
2652,Manufacture of watches and clocks,,,26,"Manufacture of computer, electronic and optical products",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",2652,Manufacture of watches and clocks,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","FOSL,MOV,RLX","WEGE3,TUPY3,FRAS3"
2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",,,26,"Manufacture of computer, electronic and optical products",266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","GEHC,HOLX,VAR","BAUM4,WLMM4,LIFM3"
2670,Manufacture of optical instruments and photographic equipment,,,26,"Manufacture of computer, electronic and optical products",267,Manufacture of optical instruments and photographic equipment,2670,Manufacture of optical instruments and photographic equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","COHU,KEYS,TER","MYPK3,TUPY3,BRKM5"
2680,Manufacture of magnetic and optical media,,,26,"Manufacture of computer, electronic and optical products",268,Manufacture of magnetic and optical media,2680,Manufacture of magnetic and optical media,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","WDC,STX,MU","POSI3,PDTC3,INTB3"
2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",,,27,Manufacture of electrical equipment,271,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Industrial manufacturing operations benefit from DCF for cash flow projections and CCA for market multiples. PTA and DDM provide asset-based and income perspectives, with Graham Number as a safety margin check.","EMR,ETN,ROK","WEGE3,KEPL3,TOTS3"
2720,Manufacture of batteries and accumulators,,,27,Manufacture of electrical equipment,272,Manufacture of batteries and accumulators,2720,Manufacture of batteries and accumulators,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","QS,ENVX,ENR","ELP4,MGLU3,VIVA3"
2731,Manufacture of fibre optic cables,,,27,Manufacture of electrical equipment,273,Manufacture of wiring and wiring devices,2731,Manufacture of fibre optic cables,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","GLW,OCC,COMM","TUPY3,WEGE3,FRAS3"
2732,Manufacture of other electronic and electric wires and cables,,,27,Manufacture of electrical equipment,273,Manufacture of wiring and wiring devices,2732,Manufacture of other electronic and electric wires and cables,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","TEL,APH,VMC","TUPY3,BRKM5,TELB4"
2733,Manufacture of wiring devices,,,27,Manufacture of electrical equipment,273,Manufacture of wiring and wiring devices,2733,Manufacture of wiring devices,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HUB,EMR,SWK","WEGE3,TUPY3,FRAS3"
2740,Manufacture of lighting equipment,,,27,Manufacture of electrical equipment,274,Manufacture of lighting equipment,2740,Manufacture of lighting equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ACITY,HUBB,LSI","WEGE3,TASA4,KEPL3"
2750,Manufacture of domestic appliances,,,27,Manufacture of electrical equipment,275,Manufacture of domestic appliances,2750,Manufacture of domestic appliances,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","WHR,HBB,NWL","WHRL3,MGLU3,AMER3"
2790,Manufacture of other electrical equipment,,,27,Manufacture of electrical equipment,279,Manufacture of other electrical equipment,2790,Manufacture of other electrical equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ETN,EMR,GNRC","WEGE3,TOTS3,POSI3"
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","GE,CMI,CAT","WEGE3,TUPY3,FRAS3"
2812,Manufacture of fluid power equipment,,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2812,Manufacture of fluid power equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ERII,PH,FLS","WEGE3,TUPY3,FRAS3"
2813,"Manufacture of other pumps, compressors, taps and valves",,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2813,"Manufacture of other pumps, compressors, taps and valves",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","IR,PNR,FLOW","WEGE3,TUPY3,FRAS3"
2814,"Manufacture of bearings, gears, gearing and driving elements",,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2814,"Manufacture of bearings, gears, gearing and driving elements",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ALV,APTV,GNTX","TUPY3,WEGE3,FRAS3"
2815,"Manufacture of ovens, furnaces and permanent household heating equipment",,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2815,"Manufacture of ovens, furnaces and permanent household heating equipment",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","WHR,CHRW,LII","WEGE3,TUPY3,FRAS3"
2816,Manufacture of lifting and handling equipment,,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2816,Manufacture of lifting and handling equipment,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","OTIS,KNE,TTRE","ROMI3,KEPL3,TUPY3"
2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","XRX,LXK,PBI","WEGE3,TUPY3,FRAS3"
2818,Manufacture of power-driven hand tools,,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2818,Manufacture of power-driven hand tools,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SWK,SNA,TTSH","TOTS3,WEGE3,CSUD3"
2819,Manufacture of other general-purpose machinery,,,28,Manufacture of machinery and equipment n.e.c.,281,Manufacture of general-purpose machinery,2819,Manufacture of other general-purpose machinery,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ITW,DOV,AME","WEGE3,ROMI3,TUPY3"
2821,Manufacture of agricultural and forestry machinery,,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2821,Manufacture of agricultural and forestry machinery,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","DE,AGCO,CNH","ROMI3,KEPL3,TUPY3"
2822,Manufacture of metal-forming machinery and machine tools,,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2822,Manufacture of metal-forming machinery and machine tools,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","DE,AGCO,CNHI","ROMI3,WEGE3,TUPY3"
2823,Manufacture of machinery for metallurgy,,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2823,Manufacture of machinery for metallurgy,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MTW,GLW,FLS","ROMI3,TUPY3,SHUL4"
2824,"Manufacture of machinery for mining, quarrying and construction",,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2824,"Manufacture of machinery for mining, quarrying and construction",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CAT,DE,TEX","ROMI3,TUPY3,KEPL3"
2825,"Manufacture of machinery for food, beverage and tobacco processing",,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2825,"Manufacture of machinery for food, beverage and tobacco processing",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MIDD,JBT,GEA","KEPL3,ROMI3,TUPY3"
2826,"Manufacture of machinery for textile, apparel and leather production",,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2826,"Manufacture of machinery for textile, apparel and leather production",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","AIN,UFI,CULP","ROMI3,WEGE3,TUPY3"
2829,Manufacture of other special-purpose machinery,,,28,Manufacture of machinery and equipment n.e.c.,282,Manufacture of special-purpose machinery,2829,Manufacture of other special-purpose machinery,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ITW,DOV,DE","ROMI3,WEGE3,TUPY3"
2910,Manufacture of motor vehicles,,,29,"Manufacture of motor vehicles, trailers and semi-trailers",291,Manufacture of motor vehicles,2910,Manufacture of motor vehicles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","F,GM,STLA","MYPK3,LEVE3,TUPY3"
2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,,29,"Manufacture of motor vehicles, trailers and semi-trailers",292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","TH,WNC,CVCO","RAPT4,FRAS3,TUPY3"
2930,Manufacture of parts and accessories for motor vehicles,,,29,"Manufacture of motor vehicles, trailers and semi-trailers",293,Manufacture of parts and accessories for motor vehicles,2930,Manufacture of parts and accessories for motor vehicles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LEA,DAN,BWA","FRAS3,TUPY3,POMO4"
3011,Building of ships and floating structures,,,30,Manufacture of other transport equipment,301,Building of ships and boats,3011,Building of ships and floating structures,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HII,GD,NOC","WEGE3,EMBR3,RAPT4"
3012,Building of pleasure and sporting boats,,,30,Manufacture of other transport equipment,301,Building of ships and boats,3012,Building of pleasure and sporting boats,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MBUU,MCFT,BC","TUPY3,WEGE3,POMO4"
3020,Manufacture of railway locomotives and rolling stock,,,30,Manufacture of other transport equipment,302,Manufacture of railway locomotives and rolling stock,3020,Manufacture of railway locomotives and rolling stock,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","WAB,TRN,GBX","RAIL3,MRSA3B,TASA4"
3030,Manufacture of air and spacecraft and related machinery,,,30,Manufacture of other transport equipment,303,Manufacture of air and spacecraft and related machinery,3030,Manufacture of air and spacecraft and related machinery,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","BA,LMT,RTX","EMBR3,WEGE3,RAPT4"
3040,Manufacture of military fighting vehicles,,,30,Manufacture of other transport equipment,304,Manufacture of military fighting vehicles,3040,Manufacture of military fighting vehicles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LMT,GD,NOC","EMBR3,TUPY3,WEGE3"
3091,Manufacture of motorcycles,,,30,Manufacture of other transport equipment,309,Manufacture of transport equipment n.e.c.,3091,Manufacture of motorcycles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HOG,PIII,LCI","MYPK3,LEVE3,TUPY3"
3092,Manufacture of bicycles and invalid carriages,,,30,Manufacture of other transport equipment,309,Manufacture of transport equipment n.e.c.,3092,Manufacture of bicycles and invalid carriages,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","PTON,FOXF,VSTO","TUPY3,RPMG3,POMO4"
3099,Manufacture of other transport equipment n.e.c.,,,30,Manufacture of other transport equipment,309,Manufacture of transport equipment n.e.c.,3099,Manufacture of other transport equipment n.e.c.,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","OTIS,PCAR,HNI","TUPY3,ROMI3,RAPT3"
3101,Manufacture of wooden furniture,,,31,Manufacture of furniture,310,Manufacture of furniture,3101,Manufacture of wooden furniture,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LZB,ETD,BSET","UCAS3,DXCO3,EUCA3"
3102,Manufacture of other furniture,,,31,Manufacture of furniture,310,Manufacture of furniture,3102,Manufacture of other furniture,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LZB,ETH,HOFT","UCAS3,DXCO3,EUCA3"
3211,Manufacture of jewellery and related articles,,,32,Other manufacturing,321,"Manufacture of jewellery, bijouterie and related articles",3211,Manufacture of jewellery and related articles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SIG,MOV,MOV.B","VIVR3,PLPL3,EZTC3"
3212,Manufacture of imitation jewellery and related articles,,,32,Other manufacturing,321,"Manufacture of jewellery, bijouterie and related articles",3212,Manufacture of imitation jewellery and related articles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","FOSL,MOV,CPRI","VIVA3,MTRE3,ALPA4"
3220,Manufacture of musical instruments,,,32,Other manufacturing,322,Manufacture of musical instruments,3220,Manufacture of musical instruments,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SMCH,SONO,AVID","GIAN3,MYPK3,LEVE3"
3230,Manufacture of sports goods,,,32,Other manufacturing,323,Manufacture of sports goods,3230,Manufacture of sports goods,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","NKE,COLM,VFC","ALPA4,VIVA3,CEAB3"
